case_id,artifact,ecosystem,A,I,B,E,N,P,H,repair_level,ootb_outcome,mechanisms,evidence_status
PS001,DLinear / LTSF-Linear,Python/PyTorch,PASS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SAT,N/A,UNKNOWN,TRACE_DECAY,TRACE-INCOMPLETE
PS002,Hidet,Python/C++/CUDA,PASS,N/A,N/A,N/A,N/A,N/A,UNSAT,RL0,N/A,HARDWARE_CONSTRAINT,VERIFIED
PS003,SciJava Ops,Java/JMH,PASS,PASS,PASS,PASS,UNKNOWN,PARTIAL,SAT,RL0,PASS,RUNTIME_VERSION_SENSITIVITY;PERFORMANCE_DRIFT,VERIFIED
PS004,TimeX++,Python/PyTorch,PASS,PASS,PASS,PARTIAL,UNKNOWN,N/A,SAT,RL3,FAIL,ENVIRONMENT_COUPLING;ENCODING_ENVIRONMENT,VERIFIED
PS005,ADSketch,Python,PASS,PASS,PASS,PASS,PARTIAL,UNKNOWN,SAT,RL2,FAIL,DEPENDENCY_DECAY,VERIFIED
PS006,RQuBE / BBFS,C++,PASS,PASS,PASS,PARTIAL,N/A,N/A,SAT,RL0,PARTIAL,WORKFLOW_DATA_ORCHESTRATION,VERIFIED
PS007,Data Race artifact,C/VM/BenchExec,PASS,PASS,N/A,N/A,N/A,N/A,UNSAT,RL0,N/A,INFRASTRUCTURE_CONSTRAINT,VERIFIED
PS008,RAJAPerf,C++/HPC,PASS,PASS,PASS,PASS,PASS,PARTIAL,SAT,RL2,FAIL,TOOLCHAIN_DRIFT;PERFORMANCE_DRIFT,VERIFIED
PS009,NPB-CPP,C++,PASS,PASS,PASS,PASS,PASS,UNKNOWN,SAT,RL3,FAIL,TOOLCHAIN_DRIFT;TRACE_DECAY,VERIFIED
PS010,mgm,R,PASS,PARTIAL,N/A,PARTIAL,PARTIAL,N/A,SAT,RL2,FAIL,DEPENDENCY_DECAY;RUNTIME_SEMANTIC_DRIFT,VERIFIED
