case_id,artifact,ecosystem,H,ootb_outcome,mechanisms
PS001,DLinear / LTSF-Linear,Python/PyTorch,SAT,UNKNOWN,TRACE_DECAY
PS002,Hidet,Python/C++/CUDA,UNSAT,N/A,HARDWARE_CONSTRAINT
PS003,SciJava Ops,Java/JMH,SAT,PASS,RUNTIME_VERSION_SENSITIVITY;PERFORMANCE_DRIFT
PS004,TimeX++,Python/PyTorch,SAT,FAIL,ENVIRONMENT_COUPLING;ENCODING_ENVIRONMENT
PS005,ADSketch,Python,SAT,FAIL,DEPENDENCY_DECAY
PS006,RQuBE / BBFS,C++,SAT,PARTIAL,WORKFLOW_DATA_ORCHESTRATION
PS007,Data Race artifact,C/VM/BenchExec,UNSAT,N/A,INFRASTRUCTURE_CONSTRAINT
PS008,RAJAPerf,C++/HPC,SAT,FAIL,TOOLCHAIN_DRIFT;PERFORMANCE_DRIFT
PS009,NPB-CPP,C++,SAT,FAIL,TOOLCHAIN_DRIFT;TRACE_DECAY
PS010,mgm,R,SAT,FAIL,DEPENDENCY_DECAY;RUNTIME_SEMANTIC_DRIFT
