claim_id,case_id,label,claim,evidence_references,all_references_exist,transformation,normalized_evidence,matrix_status,claim_status,supporting_claim_ids
PS001-C001,PS001,OUR-OBSERVED,The historical DLinear MSE and MAE outputs were not recovered after workspace and Downloads searches.,evidence/MISSING_EVIDENCE.csv,True,Recovery tracker review,,N=UNKNOWN,TRACE-INCOMPLETE,
PS001-C002,PS001,INFERENCE,The earlier PS001 experiment is trace-incomplete and cannot support a quantitative reproduced-result claim.,evidence/MISSING_EVIDENCE.csv,True,Conservative inference,,N=UNKNOWN,TRACE-INCOMPLETE,PS001-C001
PS002-C001,PS002,AUTHOR-REPORTED,The artifact requires a Linux system with an NVIDIA GPU driver and reports an RTX 3090 reference GPU.,evidence/PS002/raw/README.md,True,Direct extraction,,H=UNSAT,READY-FOR-REVIEW,
PS002-C002,PS002,AUTHOR-REPORTED,The supplied container uses an NVIDIA CUDA 11.6 development image.,evidence/PS002/raw/Dockerfile,True,Direct extraction,,H=UNSAT,READY-FOR-REVIEW,
PS002-C003,PS002,OUR-OBSERVED,No standalone retained host GPU probe was recovered.,evidence/MISSING_EVIDENCE.csv,True,Recovery tracker review,,H=UNSAT,TRACE-INCOMPLETE,
PS002-C004,PS002,INFERENCE,The current evaluation is hardware-constrained rather than an artifact execution failure.,evidence/PS002/raw/README.md; evidence/MISSING_EVIDENCE.csv,True,Conservative prerequisite classification,,E=N/A,READY-FOR-REVIEW,PS002-C001;PS002-C003
PS003-C001,PS003,OUR-OBSERVED,"The retained validation contains three independent repetitions under each of Temurin JDK 17, 21, and 25.",evidence/PS003/environment/environment.json; evidence/PS003/outputs/jdk17-run1.json; evidence/PS003/outputs/jdk17-run2.json; evidence/PS003/outputs/jdk17-run3.json; evidence/PS003/outputs/jdk21-run1.json; evidence/PS003/outputs/jdk21-run2.json; evidence/PS003/outputs/jdk21-run3.json; evidence/PS003/outputs/jdk25-run1.json; evidence/PS003/outputs/jdk25-run2.json; evidence/PS003/outputs/jdk25-run3.json,True,Direct inventory,evidence/PS003/normalized/jmh_results.csv,E=PASS,READY-FOR-REVIEW,
PS003-C002,PS003,OUR-OBSERVED,"Every retained run records JMH 1.36, three forks, five 5-second warmup iterations, and ten 5-second measurement iterations.",evidence/PS003/raw/run_ps003_validation.ps1; evidence/PS003/outputs/jdk17-run1.json,True,Direct parameter extraction,evidence/PS003/normalized/jmh_results.csv,E=PASS,READY-FOR-REVIEW,
PS003-C003,PS003,OUR-OBSERVED,"The validated baseline-adjusted mean ijOps/sjOps ratios were 139.0572393580816 for JDK 17, 79.47038819678475 for JDK 21, and 61.05994846302502 for JDK 25.",evidence/PS003/outputs/jdk17-run1.json; evidence/PS003/outputs/jdk17-run2.json; evidence/PS003/outputs/jdk17-run3.json; evidence/PS003/outputs/jdk21-run1.json; evidence/PS003/outputs/jdk21-run2.json; evidence/PS003/outputs/jdk21-run3.json; evidence/PS003/outputs/jdk25-run1.json; evidence/PS003/outputs/jdk25-run2.json; evidence/PS003/outputs/jdk25-run3.json; provenance/PS003_summary_statistics.csv,True,Previously validated PS003 treatment retained unchanged,evidence/PS003/normalized/validated_jdk_summary.csv,P=PARTIAL,READY-FOR-REVIEW,
PS003-C004,PS003,INFERENCE,"Performance behavior was sensitive to the tested JDK configuration, with substantial between-repetition variability for JDK 21 and JDK 25.",evidence/PS003/normalized/validated_jdk_summary.csv,True,Conservative comparison of validated means and CVs; no causal attribution,evidence/PS003/normalized/validated_jdk_summary.csv,P=PARTIAL,READY-FOR-REVIEW,PS003-C003
PS003-C005,PS003,OUR-OBSERVED,The recovered outputs demonstrate successful benchmark execution on all three tested JDKs.,evidence/PS003/outputs/jdk17-run1.txt; evidence/PS003/outputs/jdk21-run1.txt; evidence/PS003/outputs/jdk25-run1.txt,True,Direct observation,,E=PASS,READY-FOR-REVIEW,
PS004-C001,PS004,OUR-OBSERVED,"The retained environment used Python 3.10.0, torch 2.0.0+cpu, and numpy 1.23.5.",evidence/PS004/environment/ps004_system_info.txt,True,Direct extraction,,I=PASS,READY-FOR-REVIEW,
PS004-C002,PS004,OUR-OBSERVED,The retained portability patch removed an unused import and added CPU-aware map_location arguments to model loads.,evidence/PS004/interventions/ps004_portability_patch.diff,True,Direct diff inspection,,E=PARTIAL,READY-FOR-REVIEW,
PS004-C003,PS004,OUR-OBSERVED,The retained FreqShape run terminated with a Windows cp1252 UnicodeEncodeError while printing a full-width colon.,evidence/PS004/raw/ps004_reproduction_run1.txt,True,Direct log extraction,,E=PARTIAL,READY-FOR-REVIEW,
