claim_id,case_id,label,claim,raw_evidence,transformation,normalized_evidence,matrix_field,manuscript_location,status,supporting_claim_ids,notes
PS001-C001,PS001,OUR-OBSERVED,The historical DLinear MSE and MAE outputs were not recovered after workspace and Downloads searches.,evidence/MISSING_EVIDENCE.csv,Recovery tracker review,,N,,TRACE-INCOMPLETE,,Absence claim only; no metric values may be reported.
PS001-C002,PS001,INFERENCE,The earlier PS001 experiment is trace-incomplete and cannot support a quantitative reproduced-result claim.,evidence/MISSING_EVIDENCE.csv,Conservative inference,,N,,TRACE-INCOMPLETE,PS001-C001,"RL5 applies to the unrecovered experiment, not automatically to the artifact."
PS002-C001,PS002,AUTHOR-REPORTED,The artifact requires a Linux system with an NVIDIA GPU driver and reports an RTX 3090 reference GPU.,evidence/PS002/raw/README.md,Direct extraction,,H,,READY-FOR-REVIEW,,README hardware requirements section.
PS002-C002,PS002,AUTHOR-REPORTED,The supplied container uses an NVIDIA CUDA 11.6 development image.,evidence/PS002/raw/Dockerfile,Direct extraction,,H,,READY-FOR-REVIEW,,Dockerfile first line.
PS002-C003,PS002,OUR-OBSERVED,No standalone retained host GPU probe was recovered.,evidence/MISSING_EVIDENCE.csv,Recovery tracker review,,H,,TRACE-INCOMPLETE,,Intel Iris Xe remains a protected observation but lacks publication-grade raw host output.
PS002-C004,PS002,INFERENCE,The current evaluation is hardware-constrained rather than an artifact execution failure.,evidence/PS002/raw/README.md; evidence/MISSING_EVIDENCE.csv,Conservative prerequisite classification,,E,,READY-FOR-REVIEW,PS002-C001;PS002-C003,Use H=UNSAT and E=N/A.
PS003-C001,PS003,OUR-OBSERVED,"The retained validation contains three independent repetitions under each of Temurin JDK 17, 21, and 25.",evidence/PS003/environment/environment.json; evidence/PS003/outputs/jdk17-run1.json; evidence/PS003/outputs/jdk17-run2.json; evidence/PS003/outputs/jdk17-run3.json; evidence/PS003/outputs/jdk21-run1.json; evidence/PS003/outputs/jdk21-run2.json; evidence/PS003/outputs/jdk21-run3.json; evidence/PS003/outputs/jdk25-run1.json; evidence/PS003/outputs/jdk25-run2.json; evidence/PS003/outputs/jdk25-run3.json,Direct inventory,evidence/PS003/normalized/jmh_results.csv,E,,READY-FOR-REVIEW,,Each JSON contains ten benchmark results.
PS003-C002,PS003,OUR-OBSERVED,"Every retained run records JMH 1.36, three forks, five 5-second warmup iterations, and ten 5-second measurement iterations.",evidence/PS003/raw/run_ps003_validation.ps1; evidence/PS003/outputs/jdk17-run1.json,Direct parameter extraction,evidence/PS003/normalized/jmh_results.csv,E,,READY-FOR-REVIEW,,The normalizer checks all 90 benchmark records.
PS003-C003,PS003,OUR-OBSERVED,"The validated baseline-adjusted mean ijOps/sjOps ratios were 139.0572393580816 for JDK 17, 79.47038819678475 for JDK 21, and 61.05994846302502 for JDK 25.",evidence/PS003/outputs/jdk17-run1.json; evidence/PS003/outputs/jdk17-run2.json; evidence/PS003/outputs/jdk17-run3.json; evidence/PS003/outputs/jdk21-run1.json; evidence/PS003/outputs/jdk21-run2.json; evidence/PS003/outputs/jdk21-run3.json; evidence/PS003/outputs/jdk25-run1.json; evidence/PS003/outputs/jdk25-run2.json; evidence/PS003/outputs/jdk25-run3.json; provenance/PS003_summary_statistics.csv,Previously validated PS003 treatment retained unchanged,evidence/PS003/normalized/validated_jdk_summary.csv,P,,READY-FOR-REVIEW,,The regenerated check is diagnostic only and does not supersede the validated aggregate.
PS003-C004,PS003,INFERENCE,"Performance behavior was sensitive to the tested JDK configuration, with substantial between-repetition variability for JDK 21 and JDK 25.",evidence/PS003/normalized/validated_jdk_summary.csv,Conservative comparison of validated means and CVs; no causal attribution,evidence/PS003/normalized/validated_jdk_summary.csv,P,,READY-FOR-REVIEW,PS003-C003,P=PARTIAL; this does not establish a monotonic JDK-version effect.
