lit_id,citation_key,year,venue,problem,dataset_or_scope,method,testing_focus,environment_focus,result_validation,relationship_to_current_work,verification_status
LIT001,kanewala2014testing,2014,Information and Software Technology,Challenges and solutions in testing scientific software,62 studies,Systematic literature review,"Oracle problem; testing challenges",Indirect,Scientific-output correctness challenges,"Foundational testing/oracle work; prevents novelty overclaim",VERIFIED-PRIMARY
LIT002,eisty2025testing,2025,Empirical Software Engineering,Testing practices methods tools and challenges in research software,Research-software developers,Survey,"Test design; quality; output correctness; tools",Indirect,Reported developer practices,"Practice survey rather than retrospective reproduction outcomes",VERIFIED-PRIMARY
LIT003,ding2016metamorphic,2016,International Workshop on Metamorphic Testing,Use metamorphic testing for scientific software,Scientific software application,Technique application,Metamorphic relations,No direct matrix,Relational oracle,"Metamorphic testing is prior work not our novelty",VERIFIED-DOI
LIT004,hassan2025debt,2025,Journal of Systems and Software,Characterize reproducibility debt,214 primary studies,Systematic literature review,Tools and mitigation included,"Workflow environment and process debt",Taxonomy of reproducibility issues,"Broader debt taxonomy; our RL/mechanism/outcome are case-level and separate",VERIFIED-PRIMARY
LIT005,samuel2026reproscore,2026,arXiv preprint,Separate reproducibility readiness from execution outcome,423 GitHub repositories,Framework evaluation,Static checks and execution probes,Environment category,Execution outcome,"Nearest readiness/outcome comparison; we further separate E N P",VERIFIED-PREPRINT
LIT006,acm2020badging,2020,ACM policy,Artifact availability functionality reusability and reproduced results,Publication policy,Standard,Artifact evaluation,Evaluation environment,Results reproduced badge,"Endpoint vocabulary compared with layered retrospective diagnosis",VERIFIED-OFFICIAL
LIT007,nasem2019reproducibility,2019,National Academies Press,Define reproducibility and replicability,Cross-disciplinary consensus,Consensus report,No,Conditions of analysis,Consistent computational results,"Terminological foundation",VERIFIED-OFFICIAL
LIT008,boettiger2015docker,2015,ACM SIGOPS OSR,Docker for reproducible research,Method/tutorial,Technical article,No,Containerization,Environment reconstruction,"Preservation mechanism background",VERIFIED-DOI
LIT009,chan2023rang,2023,PLOS ONE,Reconstruct historical R environments,R code examples and historical environments,Tool and empirical demonstrations,No,"OS system libraries R packages",Executable recovery,"Direct context for PS010 and ecosystem reconstruction",VERIFIED-PRIMARY
LIT010,heumueller2020artifacts,2020,Empirical Software Engineering,Availability and publication of software artifacts,789 ICSE papers 2007-2017,Empirical study,Artifact properties,Persistence and availability,Not execution fidelity,"Availability study; our question begins downstream",VERIFIED-PRIMARY
LIT011,liu2024artifacttrends,2024,Journal of Systems and Software,Status trends maintenance and quality of SE artifacts,"2196 papers; 1487 artifacts",Empirical study,Quality signals,Maintenance and persistence,Not execution fidelity,"Artifact-practice context",VERIFIED-PRIMARY
LIT012,costa2025comprep,2025,ACM REP,CompRep computational reproducibility dataset,38 curated experiments,Dataset construction and tool evaluation,Execution probes,Dependencies configurations and environment documentation,Execution outcome,"Nearest benchmark dataset; 18 experiments executable with at least one tool",VERIFIED-PRIMARY
LIT013,donatbouillud2025r4r,2025,"ACM REP; DOI 10.1145/3736731.3746156",R4R reproducibility for R,R Markdown notebooks from Kaggle,Tool paper,Dynamic dependency tracing,R and system environment reconstruction,Exact output reproduction,"Candidate environment-reconstruction comparison for PS010",VERIFIED-PRIMARY
LIT014,sirvent2025hpc,2025,"ACM REP; DOI 10.1145/3736731.3746141",Reproducibility for HPC and distributed environments,HPC and distributed environments,Empirical/method synthesis,Committees and nondeterminism,"Performance provenance and workflows",Methodological reproducibility,"HPC context for PS008 and external infrastructure conditions",VERIFIED-PRIMARY
LIT015,lee2011ciao,2011,ASP Conference Series,Scientific regression testing of CIAO,CIAO release pipeline,Cross-platform regression testing,"Unit mini regression and package tests",Multiple ported platforms,Consistent and scientifically valid results,"Direct prior use of scientific regression testing",VERIFIED-PRIMARY
LIT016,acher2024variability,2024,ACM REP,Deep software variability and reproducibility,Vision paper,Variability-management framing,Indirect,"Language libraries compiler VM OS environment variables",Result and non-functional variability,"Nearest conceptual work on layered environment variation",VERIFIED-PRIMARY
LIT020,muttakin2026openscience,2026,ICSE 2026,Executability and reproducibility of 100 SE replication packages,100 ICSE artifacts 2015-2024,Empirical study,No,Environment challenges,Binary executable plus reproduced results,"Nearest competitor: large-scale prevalence study; our model adds N/P/H separation and claim provenance",VERIFIED-PRIMARY
LIT021,guilloteau2024longevity,2024,ACM REP 2024,Longevity of HPC/parallel artifacts,Leading parallel/distributed conferences through 2023,Empirical study,No,Availability and environment decay,Availability and executability over time,"Aging motivation; HPC context for PS008; our study adds diagnostic depth",VERIFIED-PRIMARY
LIT017,gundersen2022sources,2022,arXiv preprint,Sources of irreproducibility in machine learning,Review and conceptual framework,Literature synthesis,Indirect,Experimental-design and implementation variation,Effects on inferred conclusions,"Precludes novelty claim for conclusion-sensitive reproducibility",VERIFIED-PREPRINT
LIT018,holtdirk2026automated,2026,arXiv preprint,Automated reproducibility assessment in social and behavioral sciences,180 studies with predefined claims,LLM-generated reanalysis,No direct software-testing evaluation,Reanalysis environment,Qualitative conclusion and effect-size agreement,"Nearest claim-level automated assessment; different domain and method",VERIFIED-PREPRINT
LIT019,farshidi2026ai4rse,2026,Automated Software Engineering,AI-assisted research software engineering at scale,"1510 Zenodo research-software records",Repository mining and indicator analysis,Testing as maturity indicator,Repository and operational metadata,No execution or claim-fidelity experiment,"Supports repository-mining scale only; not reproduction feasibility",VERIFIED-PRIMARY
