case_id,execution_id,series_index,precision,recall,f1,source_file,source_locator,label,status
PS005,PS005-ENV01,0,0.400,1.000,0.571,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 1,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,1,0.929,1.000,0.963,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 2,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,2,1.000,0.737,0.848,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 3,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,3,0.400,1.000,0.571,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 4,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,4,0.643,1.000,0.783,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 5,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,5,0.154,1.000,0.267,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 6,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,6,0.571,1.000,0.727,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 7,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,7,0.600,1.000,0.750,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 8,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,8,0.956,0.665,0.784,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 9,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,9,0.300,1.000,0.462,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 10,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,10,0.914,0.656,0.764,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 11,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,11,0.765,0.812,0.788,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 12,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,12,0.400,0.061,0.105,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 13,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,13,0.353,1.000,0.522,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 14,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,14,0.887,1.000,0.940,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 15,OUR-OBSERVED,READY-FOR-REVIEW
