claim_id,case_id,label,claim,raw_evidence,transformation,normalized_evidence,matrix_field,manuscript_location,status,supporting_claim_ids,notes
PS009-C001,PS009,OUR-OBSERVED,Recovered repository working tree identifies commit d31c997580ef1a58c13c69fe02dadcb3e0e95105,evidence/PS009/environment/recovered_repository_inspection_2026-08-15.txt,"Direct extraction: lines 1-5",,A,,READY-FOR-REVIEW,,Inspection records current recovery state of historical folder.
PS009-C002,PS009,OUR-OBSERVED,Recovered EP Class S output reported Verification = SUCCESSFUL,evidence/PS009/outputs/ps009_ep_r1.txt,"Direct extraction: line 30",evidence/PS009/normalized/benchmark_results.csv,N,,READY-FOR-REVIEW,,Header identifies OpenMP C++; attribution requires review.
PS009-C003,PS009,OUR-OBSERVED,Recovered CG Class S output reported Verification = SUCCESSFUL,evidence/PS009/outputs/ps009_cg_r1.txt,"Direct extraction: lines 23 and 35",evidence/PS009/normalized/benchmark_results.csv,N,,READY-FOR-REVIEW,,Header identifies SER C++.
PS009-C004,PS009,OUR-OBSERVED,Recovered MG Class S output reported Verification = SUCCESSFUL,evidence/PS009/outputs/ps009_mg_r1.txt,"Direct extraction: lines 9 and 21",evidence/PS009/normalized/benchmark_results.csv,N,,READY-FOR-REVIEW,,Header identifies OpenMP C++; attribution requires review.
PS009-C005,PS009,INFERENCE,The recovered build required a non-algorithmic portability intervention before successful benchmark execution,evidence/MISSING_EVIDENCE.csv,Requires before/after intervention evidence,,B,,TRACE-INCOMPLETE,PS009-C002;PS009-C003;PS009-C004,RL3 remains provisional because the raw intervention sequence was not found.
PS009-C006,PS009,OUR-OBSERVED,The retained OOTB EP build attempt failed while compiling a generated npbparams.hpp with missing terminating quote errors,evidence/PS009/raw/ootb_build_ep_cg_terminal_capture.txt,"Direct extraction: lines 1-112",,B,,READY-FOR-REVIEW,,Raw file recovered unchanged and included in SHA-256 evidence manifest; researcher review required.
PS009-C007,PS009,OUR-OBSERVED,The retained OOTB CG build attempt failed while compiling a generated npbparams.hpp with missing terminating quote errors,evidence/PS009/raw/ootb_build_ep_cg_terminal_capture.txt,"Direct extraction: lines 113-224",,B,,READY-FOR-REVIEW,,Raw file recovered unchanged and included in SHA-256 evidence manifest; researcher review required.
PS009-C008,PS009,OUR-OBSERVED,No EP executable was present after the retained failed OOTB build attempts,evidence/PS009/raw/ootb_build_ep_cg_terminal_capture.txt,"Direct extraction: lines 225-229",,E,,READY-FOR-REVIEW,PS009-C006,This establishes only the captured OOTB session state; it does not address repaired execution.
PS009-C009,PS009,OUR-OBSERVED,The recovered NPB-SER config/make.def matched the Git working-tree version and retained CRLF line endings,evidence/PS009/raw/npb_ser_config_make.def,"SHA-256 retention; git diff empty; byte scan found 103 CRLF and zero lone LF",,B,,READY-FOR-REVIEW,PS009-C001,Supports pre-repair condition but not the missing intervention sequence.
PS009-C010,PS009,INFERENCE,The three recovered successful outputs cannot yet be treated as one homogeneous SER execution,evidence/PS009/outputs/ps009_ep_r1.txt; evidence/PS009/outputs/ps009_cg_r1.txt; evidence/PS009/outputs/ps009_mg_r1.txt,"Compare implementation labels on line 1",evidence/PS009/normalized/benchmark_results.csv,E;N,,READY-FOR-REVIEW,PS009-C002;PS009-C003;PS009-C004,"EP and MG identify OpenMP C++; CG identifies SER C++."
