PS,Evidence,Status,PublicationReady
PS001,docs/cases/PS001.md,TRACE-INCOMPLETE,NO - audit first
PS002,docs/cases/PS002.md,STRONG/PARTIAL,NO - audit first
PS003,docs/cases/PS003.md,STRONG/PARTIAL,NO - audit first
PS004,docs/cases/PS004.md,PARTIAL,NO - audit first
PS005,docs/cases/PS005.md,PARTIAL,NO - audit first
PS006,docs/cases/PS006.md,PARTIAL,NO - audit first
PS007,docs/cases/PS007.md,STRONG/PARTIAL,NO - audit first
PS008,docs/cases/PS008.md,STRONG/PARTIAL,NO - audit first
PS009,docs/cases/PS009.md,STRONG/PARTIAL,NO - audit first
PS010,docs/cases/PS010.md,STRONG/PARTIAL,NO - audit first
